*	NAME	s	MX	dMX	MY	dMY
$	%s	%le	%le	%le	%le	%le
BR3.DHZ16L1-BR3.UES6L3	54.555	-3.549447	0.037110423	-0.060632141	0.010114371
BR3.DHZ16L1-BR3.UES7L3	64.373	1.5356523	0.042209794	-0.17538558	0.018847076
BR3.DHZ16L1-BR3.UES8L3	74.19	3.2401772	0.043400238	0.043249081	0.014876786
BR3.DHZ16L1-BR3.UES9L3	84.008	-2.1661612	0.029237204	0.17680519	0.0072218874
BR3.DHZ16L1-BR3.UES10L3	93.825	-2.5904708	0.11174619	-0.05331443	0.013155057
BR3.DHZ16L1-BR3.UES11L3	103.643	2.5778959	0.	-0.11640122	0.015747102
BR3.DHZ16L1-BR3.UES12L3	113.46	2.3285225	0.	-0.027831755	0.0085079789
BR3.DHZ16L1-BR3.UES13L3	123.278	-3.0805361	0.040570877	0.10640728	0.013125549
BR3.DHZ16L1-BR3.UES14L3	133.095	-1.7311522	0.03964083	0.059506253	0.012679299
BR3.DHZ16L1-BR3.UES15L3	142.913	3.4206833	0.068241569	-0.18997949	0.013847335
BR3.DHZ16L1-BR3.UES16L3	152.73	3.603878	0.049162778	-0.10857879	0.01407286
BR3.DVT2L4-BR3.UES1L3	5.467	0.054283779	0.1530078	4.7828848	0.016138114
BR3.DVT2L4-BR3.UES2L3	15.285	-0.050341603	0.16816835	2.3331428	0.06064404
BR3.DVT2L4-BR3.UES3L3	25.103	-0.076201908	0.13612408	5.6228394	0.029445973
BR3.DVT2L4-BR3.UES4L3	34.92	0.053942854	0.13007151	-3.0266072	0.060335009
BR3.DVT2L4-BR3.UES5L3	44.738	0.096952193	0.18476894	-4.3228358	0.02673874
BR3.DVT2L4-BR3.UES6L3	54.555	0.029632766	0.19511862	4.1292424	0.060132598
BR3.DVT2L4-BR3.UES7L3	64.373	-0.10552795	0.11105586	2.9721162	0.084856019
BR3.DVT2L4-BR3.UES8L3	74.19	-0.029129795	0.10578435	-5.1922989	0.030158562
BR3.DVT2L4-BR3.UES9L3	84.008	0.10764828	0.14858983	-1.4877595	0.02922091
BR3.DVT2L4-BR3.UES10L3	93.825	0.084426716	0.175939	5.468091	0.044711706
BR3.DVT2L4-BR3.UES11L3	103.643	-0.10737291	0.13065145	-0.25568898	0.058572233
BR3.DVT2L4-BR3.UES12L3	113.46	0.0074451017	0.12371727	-5.6471947	0.032131812
BR3.DVT2L4-BR3.UES13L3	123.278	0.1520596	0.16449877	1.9967	0.017087551
BR3.DVT2L4-BR3.UES14L3	133.095	-0.010851108	0.19152507	4.6369933	0.041250986
BR3.DVT2L4-BR3.UES15L3	142.913	-0.012637317	0.11600524	-3.6043508	0.040863776
BR3.DVT2L4-BR3.UES16L3	152.73	0.084721987	0.10026905	-3.8574841	0.047518179
BR3.DVT3L4-BR3.UES1L3	5.467	0.34350797	0.12269806	-3.5738037	0.02356069
BR3.DVT3L4-BR3.UES2L3	15.285	0.048396128	0.15567056	4.2831307	0.041930176
BR3.DVT3L4-BR3.UES3L3	25.103	-0.3419205	0.089938049	2.3180673	0.032779134
BR3.DVT3L4-BR3.UES4L3	34.92	-0.25132466	0.10155763	5.1086464	0.
BR3.DVT3L4-BR3.UES5L3	44.738	0.28009964	0.17270262	-2.8912848	0.028657857
BR3.DVT3L4-BR3.UES6L3	54.555	0.12214198	0.14887777	-3.9320758	0.041382521
BR3.DVT3L4-BR3.UES7L3	64.373	-0.35402015	0.070568428	4.1411236	0.
BR3.DVT3L4-BR3.UES8L3	74.19	-0.17509407	0.09523336	2.8528089	0.019685324
BR3.DVT3L4-BR3.UES9L3	84.008	0.33597912	0.091232693	-5.0320269	0.031153876
BR3.DVT3L4-BR3.UES10L3	93.825	0.12390142	0.1613868	-1.2534187	0.028465512
BR3.DVT3L4-BR3.UES11L3	103.643	-0.40109681	0.12096606	5.4228172	0.021252492
